mim	is_phenotype	date_fetched	pmid_refs
105590	True	2025-03-20	9490693|22071890|18923524|18469826|20979473|12112524|14523447|18923525|18923523|14523446|35665929|25337876|34409981|7736780|8122112|18724359|19633868|17111047|20971950|17625570|23360421|26444240|17922009
105600	True	2025-03-19	13867810|638061|5045964|14458656|23570799|7711721|33159567|3345287|8299769|4432872|6182166|8500603|14886400
105650	True	2025-03-19	1718487|714597|13111217|19208100|1718488|8826887|20960466|13155070|29364875|1718490|14790824|12406103|13722603|8630424|9988267|1958491|20252731|5025485|16990592|13958671|11264183|17186470|16741228|22431104|19061985|23718193|6646173|8160759|6178949|9792865|9321770|9241274|2694854|4818099|745221|986086|5042496|1746615|4742263|13079761|276838|23812780|4445826|660362|8734811|14616996|5356983|3732321|5086730|621285|1718489|13400593|6865981|10192448|1282827|7684626|4432558|909014|2309764|13368831|25424902|747771|273451|6150395|10590074|10541318
105830	True	2025-03-19	20034088|8651269|10417280|8499948|3608219|5010558|8786067|6025370|3409926|11283796|9634532|7795645|7625442|9245988|12210318|8644742|7987324|1357962|9556704|9195990|1303278|4000278|7905534|1619637|1360768|1519953|7684188|2774001|12016591|3198109|8103288|7246489|3063533|7192492|1867202|8362910|3585943|8456836|10861661|9831341|2012134|2769727|10482951|12668608|9042916|8364575|960285|12376950|11977186|1683160|7319144|18627066|22190039|1679180|2309778|9949213|9808466|21844811|3674117|8494033|8988171|1985457|1971993|2564739|10982040|7450780|1363801|25428759|11258627|11748306|15805153|3688021|2309780|1672177|8988172|1362220|25470045|21596294|9546330|15150776|10196695|4740440|15385437|9973277|12549484|7180875|955942|2918545|11896453|1598916|8178815|8093396|7677166|2466440|8352279|7802001|9182785|17152063|2325111|8929945|1740313|2893543|9557895|21204213|11078565|1486699|9321755|16401744|19455185|15470370|8576558|1338769|8317476|2035528|3321989|16470747|7091188|2729353|11343340|2309781|33087932|18701717
105835	True	2025-03-20	6018472|12707967|8267010
106050	False	2025-03-21	12657019|17342156|17033175|8567268|7451703|1220816|15649209
106100	True	2025-03-19	1518394|712188|3494945|2723063|14257837|23688413|30480729|17137866|676240|33059692|9553599|11161971|3056508|8628365|20818888|7091182|3818946|20818887|13694388|39445704|7618673|4128807|4393526|14046003|14223932|6781937|7165360|35294812|4551861|2687589|7351888|449665|792688|21208116|6727934|6405274|16813612|6702887|6354379|30398465|13484317|3534579|4935379|8450054|14461961|2895279|2296585|38294975|2454251|29640127|20818894|3584502|11700154|1333923|38959481|4179348|6833491|38819658|38819395|292793|4107267|14277836|6794961|4558045|3693762|4207178|6824488|294325|3587308|2323781|13778063|7359956|33746090|8755917|8628358|8105195|3653633|21208117|17502473|7352788|20818886|3734104|18768946
106190	True	2025-03-19	2401610|2401613|25329695
106210	True	2025-03-19	12566018|16543198|9138149|7276918|6988567|14962429|21321669|10857836|11481423|8825052|12386836|1247409|16493447|18322702|2841760|4782857|868970|1334370|7795596|6929510|8478003|848489|2544995|7951315|2173141|17595013|11479730|13709149|8364574|17406642|1684639|7369316|12511357|1302030|8032206|11087823|17591901|1505982|11553050|2575483|7550230|7981749|12731001|3754537|11826019|6325323|3427001|2817003|9482572|7914031|15846561|12714618|16638998|12427081|3941902|8689689|17948455|6301974|11431688|19876904|1251879|17148041|1684738|6092262|2347591|8047881
106230	True	2025-03-20	32791987|3355417
