mim	is_phenotype	date_fetched	umls_ids	orphanet_ids
104225	False	2025-03-25	C1416920|C3809482	
104230	False	2025-03-21	C1414865	
104240	False	2025-03-20	C1539862	
104250	False	2025-03-24	C1412261|C5935648	
104260	False	2025-03-21	C1332029	
104290	True	2025-03-19	C3549447	2131
104300	True	2025-04-22	C0002395|C1863052	1020
104310	True	2025-03-19	C1863051	1020
104311	False	2025-06-15	C0236642|C0338451|C1418985|C1843013|C1843014|C1843015|C3151038|C3160720|C4015780|C4015781|C4015782	
104350	False	2025-03-24	C1863015	
104400	False	2025-03-20	C1863014	
104500	True	2025-03-19	C0399368	100031|88661
104510	True	2025-03-19	C1863012	100034|88661
104530	True	2025-05-11	C4011403	100031|88661
104570	False	2025-03-20	C1863006	1028
104600	False	2025-03-23	C0271556	
104610	False	2025-03-25	C1412100	
104613	False	2025-03-20	C1413198	
104614	False	2025-03-20	C0010691|C1420191	
104615	False	2025-03-23	C1442751	
104620	False	2025-03-20	C1412173|C1835922	
104640	False	2025-03-23	C1332109	
104650	False	2025-03-24	C1412394	
104660	False	2025-03-24	C1412395	
104700	False	2025-06-15	C1412391	
104701	False	2025-03-24	C1412392	
104702	False	2025-03-20	C1412393	
104740	False	2025-03-20		
104750	False	2025-03-25	C1419799|C4015783	
104751	False	2025-03-21	C1419800	
104752	False	2025-03-21	C1419802	
104760	False	2025-03-24	C1364818|C1863052|C1863053|C2751494|C2931672|C3549448|C3888307|C3888308|C3888309|C4015784|C4015785|C4015786	
104770	False	2025-03-20	C1456795	
104775	False	2025-03-21	C1412466	
104776	False	2025-03-25	C1412467	
105120	True	2025-03-19	C1622345	85448
105150	True	2025-06-15	C1510489|C1527338	100008|85458
105200	True	2025-03-19	C0268389	314652|85450|93560|93561|93562
105210	True	2025-03-20	C2751492	271861|85447|85451
105250	True	2025-03-19	C0268398|C4551501	353220
105300	False	2025-03-24	C1862956	
105400	True	2025-03-19	C1862939	803
105500	True	2025-03-19	C0543859	90020
105550	True	2025-06-15	C3888102|C5779877	275872
105563	False	2025-03-20	C1862936	
105565	False	2025-03-23	C1862935	
105570	False	2025-03-25	C1862934	
105580	False	2025-03-21	C0563211	
105590	False	2025-05-11	C1332080|C2751681	
105600	True	2025-03-19	C0271934|C1862933|C5676874	85|98870
105650	True	2025-07-13	C2676137	124
105800	False	2025-03-23	C1862932	231160
105805	False	2025-03-25	C1387721	99092
105830	True	2025-07-20	C0162635|C5574895	411511|72|98795
105835	False	2025-03-20	C1739384	63442
105850	False	2025-03-23	C1367482|C2678468	
106050	False	2025-03-21	C1970130	95429
106070	False	2025-03-23	C1275084	1062
106100	True	2025-03-19	C1862892|C2717906	100050|100051|91378
106150	False	2025-04-03	C0266313|C1366631|C1851511|C1862886|C1970129|C3837652	
106160	False	2025-03-24		
106165	False	2025-03-25	C0266313|C1439284|C3837652	
106180	False	2025-03-24	C0266313|C1413931|C1832662|C1856857|C1862874|C1862876|C1862877|C1862886|C2675470|C4015787	
106190	True	2025-03-19	C5568836	468666
106195	False	2025-03-23	C1420195|C5774304	
106200	False	2025-03-25		
106210	True	2025-07-13	C0344542	250923
106220	False	2025-03-23	C1862868	1069
106230	False	2025-03-20	C1862867	
106240	False	2025-03-21	C0003079	
106250	False	2025-03-25	C1862866	1072
106260	True	2025-03-19	C0406709	1071
106280	False	2025-03-21	C4759698	
106300	True	2025-03-19	C1862852	
106400	False	2025-03-21	C0020498	2206
106410	False	2025-06-15	C1412403|C1833154|C1970119	
106490	False	2025-03-23	C1412424	
106491	False	2025-03-23	C1412425	
106500	False	2025-03-21	C0234906	
106600	True	2025-03-19	C3489529	99798
106700	False	2025-03-21	C0036400|C4551904|C4551905	99125
106750	False	2025-03-20	C1862844	69125
106900	False	2025-03-23	C1862843	
106990	False	2025-03-20	C1862842	2355
106995	False	2025-03-24	C1862841	1487
107000	False	2025-03-20	C3275544	79143|90390
107100	False	2025-03-24	C3495676	557
107200	False	2025-03-24	C0393778	88620
107240	False	2025-03-25		
107250	True	2025-03-25	C1862839|C4551992	88632
107253	False	2025-03-24		
107254	False	2025-03-21	C1417155	
107257	False	2025-03-20		
107260	False	2025-03-24	C1862836	
107265	False	2025-03-23	C1413206|C3150738	
107266	False	2025-03-23	C1332708	
107269	False	2025-03-24	C1332712|C4015788	
107270	False	2025-03-21	C1413221	
107271	False	2025-03-21	C1413230|C4015789|C4015790	
107272	False	2025-03-24	C1332716	
107273	False	2025-03-24	C1413235	
107280	False	2025-03-23	C1412050|C4015791|C4015792|C4015793|C4015794|C4015795	
107285	False	2025-03-25	C1366565	
107290	False	2025-03-25	C1862824	
107300	False	2025-03-25	C0272375|C1412610	
107310	False	2025-03-24	C1420232|C4225383	
107320	False	2025-03-21	C2930802	
107323	False	2025-03-20	C1412691|C1849508	
107325	False	2025-03-25	C1539080	
107400	False	2025-03-20	C1418544|C4015796|C4015797|C4015798|C4015799|C4015800|C4015801|C4015802|C4015803|C4015804|C4015805|C4015806|C4015807|C4015808|C4015809|C4015810|C4015811|C4015812|C4015813|C4015814|C4015815|C4015816|C4015817|C4015818|C4015819|C4015820|C4015821|C4015822|C4015823|C4015824|C4015825|C4017402|C4017403|C4017404|C4017405|C4017406|C4017407|C4017408|C4017409|C4017410|C4017411|C4017412|C4017413|C4017414|C4017415|C4017416|C4017417|C4017711|C4017712|C4310838|C4310983|C4310984|C4310985|C4310986|C4310987|C4310988|C4311044|C4311045	
107410	False	2025-03-25	C3888213	
107440	False	2025-03-21	C1862714	
107450	False	2025-03-24	C1334081|C5677009|C5677031	
107460	False	2025-03-25		
107470	False	2025-03-25	C1334083|C1834752|C1838332|C1864880|C1969665|C4011949|C4014863	
107480	True	2025-03-24	C0265246|C4551481	857
107500	False	2025-03-24	C1862682	1110
107550	False	2025-03-20	C1862681	
107580	False	2025-06-15	C0376524|C0919496	
107600	True	2025-03-19	C0282160|C2931779	1114
107601	False	2025-03-20		
107640	False	2025-03-20	C0520680	
107650	False	2025-03-21	C0520679	
107670	False	2025-03-20	C1412469|C4015828|C4015829	
107680	False	2025-03-24	C0342898|C1412468|C4015830|C4015831|C4015832|C4015833|C4015834|C4015835|C4015837|C4015838|C4017419|C4017420|C4017713|C4551500|C5231502|C5551172|C5677030	
107690	False	2025-03-23	C1412470|C4015844|C4015845|C4015846|C4015847	
107700	False	2025-03-20	C1862632	
107710	False	2025-03-21	C1412475	
107720	False	2025-03-21	C1412478|C3151467|C4015848	
107730	False	2025-03-24	C1412471|C1704417|C1862596|C4015849|C4015850|C4015851|C4015852|C4015853|C4015854|C4015856|C4015857|C4551990	
107740	False	2025-03-23	C1412480	
107741	False	2025-03-20	C0036489|C1412481|C1862591|C2673196|C3887714|C4015860|C4015861|C4015862|C4015867|C4015869|C4015870|C4015871|C4015872|C4015873|C4015877|C4015878|C4015879|C4015880|C4015881|C4479657|C4479658|C4479659|C4479660|C4540528|C5231504|C5231505|C5231506|C5231507|C5231508|C5231509|C5231510|C5231555|C5231556|C5231557	
107748	False	2025-03-21	C1332102	
107750	False	2025-03-24	C1862555	
107760	False	2025-03-23	C1412483	
107770	False	2025-03-25	C0263428|C1416912|C5882750	
107773	False	2025-03-24	C1417834|C4014310|C5394441	
107776	False	2025-03-21	C1412491|C1862554|C4015882	
107777	False	2025-03-21	C1412492|C5543655|C5543656	
107800	False	2025-03-23	C0003742	
107820	False	2025-03-20	C1419276|C4015323	
107830	False	2025-03-24	C1412516	
107840	False	2025-03-21		
107850	False	2025-03-23	C1862535	
107900	False	2025-03-21	C1862534	
107910	False	2025-04-03	C1366496|C1960539|C1970109	
107920	False	2025-03-21		
107930	False	2025-03-20	C1291564|C1413943	
107940	False	2025-03-23	C1332117	
107941	False	2025-03-25	C1412552	
107950	False	2025-03-20		
107970	True	2025-07-06	C1862511	217656|293888|293899|293910|3403
108000	False	2025-03-23	C1876179	
108010	True	2025-03-24	C0917804	46724
108050	False	2025-03-24	C1862510	
108100	False	2025-03-25	C0748473	
108110	False	2025-03-20		
108120	True	2025-03-19	C0220662|C5193002	1146|1147|97120
108130	False	2025-03-23		
108140	False	2025-03-24		
108145	True	2025-07-13	C1862472	1154|97120
108200	False	2025-03-21	C1862471	1144
108300	True	2025-03-19	C2020284	828|90653
108320	False	2025-03-25	C1862464	
108330	False	2025-03-24	C0919425	
108340	False	2025-03-21	C1862463	
108345	False	2025-03-23	C1417602|C4015886|C4015887	
108355	False	2025-03-20	C1333707	
108360	False	2025-03-25	C1412578	
108361	False	2025-03-23	C1412579	
108370	False	2025-03-24	C1412588|C3809971	
108390	False	2025-03-21	C1862460	
108400	False	2025-03-24		
